Round 0,,,,,,,,,,
180,928.3562463,,,,,,,,,
210,704.5676071,,,,,,,,,
240,855.3659305,,,,,,,,,
270,852.5971392,,,,,,,,,
300,1010.368741,,,,,,,,,
330,877.9807895,,,,,,,,,
360,450.0206974,,,,,,,,,
390,679.5050719,,,,,,,,,
420,686.1692632,,,,,,,,,
450,570.2289639,,,,,,,,,
480,459.4532331,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
293.0534243,,,,,,,,,,
413,431,425,-301,210,413,418,413,446,416, 
time spent,16.90646887,,,,,,,,,
,,,,,,,,,,
30,1199.285942,,,,,,,,,
60,450.9847773,,,,,,,,,
90,170.2613215,,,,,,,,,
120,54.89602422,,,,,,,,,
150,42.22954163,,,,,,,,,
180,29.8948723,,,,,,,,,
210,21.94226343,,,,,,,,,
240,17.16394833,,,,,,,,,
270,16.12616746,,,,,,,,,
300,15.61327468,,,,,,,,,
330,14.04764206,,,,,,,,,
360,12.38509037,,,,,,,,,
390,8.145483361,,,,,,,,,
420,6.960267767,,,,,,,,,
450,6.017646491,,,,,,,,,
480,5.274202121,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
5.274202121,,,,,,,,,,
421.0284765,420.4623221,419.7487102,415.3767031,422.2058806,423.2381818,420.4999921,420.459021,422.0039257,420.1574339, 
time spent,7.48747611,,,,,,,,,
,,,,,,,,,,
30,2404.759781,,,,,,,,,
60,1928.902767,,,,,,,,,
90,1471.211584,,,,,,,,,
120,964.9551634,,,,,,,,,
150,536.3500816,,,,,,,,,
180,452.835112,,,,,,,,,
210,364.1332126,,,,,,,,,
240,220.2623587,,,,,,,,,
270,75.01328336,,,,,,,,,
300,51.07399085,,,,,,,,,
330,29.4483659,,,,,,,,,
360,21.40335131,,,,,,,,,
390,15.96026744,,,,,,,,,
420,11.48634709,,,,,,,,,
450,10.32510852,,,,,,,,,
480,9.317895975,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
7.089881247,,,,,,,,,,
421.0943244,420.3113942,418.4336805,421.4094699,419.6640446,426.6176929,423.0860131,418.5890539,420.3136083,423.1871189, 
time spent,7.79623127,,,,,,,,,
,,,,,,,,,,
Round 5,,,,,,,,,,
30,1775.102974,,,,,,,,,
60,830.7382417,,,,,,,,,
90,840.8233198,,,,,,,,,
120,870.1394467,,,,,,,,,
150,837.26617,,,,,,,,,
180,874.0724447,,,,,,,,,
210,898.4826732,,,,,,,,,
240,911.5644342,,,,,,,,,
270,1040.34149,,,,,,,,,
300,969.7130458,,,,,,,,,
330,1112.686381,,,,,,,,,
360,825.361944,,,,,,,,,
390,1041.868859,,,,,,,,,
420,970.4456875,,,,,,,,,
450,697.1529912,,,,,,,,,
480,855.2414237,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
480.1123076,,,,,,,,,,
203,447,388,438,418,-296,412,434,446,-263, 
time spent,18.19205546,,,,,,,,,
,,,,,,,,,,
30,1377.018081,,,,,,,,,
60,1087.65638,,,,,,,,,
90,965.5982736,,,,,,,,,
120,1064.950266,,,,,,,,,
150,1195.033686,,,,,,,,,
180,947.1809362,,,,,,,,,
210,955.3392145,,,,,,,,,
240,1055.660502,,,,,,,,,
270,1081.327968,,,,,,,,,
300,951.5497153,,,,,,,,,
